,State,Area_Name,pov_all,pov_under17,median_income,no_high_school,no_bachelor,unemployment,pop,n_killed,n_injured,victims_involved,suspects_identified,teen_participants
984,KS,Republic,11.0,17.0,"43,921",5.9,79.0,3.0,4705.4,1.0,0.0,1.0,2.0,0.0
985,KS,Rice,13.0,17.0,"47,737",11.3,77.60000000000001,3.8,9868.4,0.0,1.0,1.0,1.0,0.0
986,KS,Riley,18.0,12.0,"49,901",4.4,53.9,3.46,75696.2,10.0,7.0,16.0,19.0,2.0
988,KS,Rush,12.0,18.0,"45,281",15.4,86.0,4.779999999999999,16765.4,1.0,0.0,1.0,4.0,1.0
989,KS,Russell,15.0,20.0,"43,857",17.4,83.0,5.92,58479.8,1.0,0.0,1.0,1.0,1.0
990,KS,Saline,12.0,15.0,"48,748",10.7,75.39999999999999,4.14,116252.2,1.0,0.0,0.0,7.0,0.0
991,KS,Scott,8.0,11.0,"60,540",23.6,89.5,4.680000000000001,10584.2,3.0,0.0,3.0,9.0,0.0
992,KS,Sedgwick,15.0,18.0,"52,612",8.8,80.19999999999999,3.66,2356.6,1.0,12.0,11.0,17.0,2.0
993,KS,Seward,14.0,18.0,"48,648",34.7,88.5,3.88,22948.0,1.0,1.0,2.0,0.0,0.0
994,KS,Shawnee,11.0,14.0,"55,387",8.9,70.8,4.46,178391.6,9.0,27.0,40.0,77.0,8.0
995,KS,Sheridan,12.0,18.0,"49,860",8.6,77.19999999999999,2.4,2497.4,0.0,0.0,0.0,0.0,0.0
996,KS,Sherman,14.0,19.0,"48,456",8.6,81.0,3.28,5998.6,0.0,0.0,0.0,1.0,0.0
998,KS,Stafford,13.0,20.0,"46,104",12.1,78.3,3.8200000000000003,4251.2,2.0,2.0,5.0,5.0,0.0
1000,KS,Stevens,10.0,13.0,"57,432",16.7,83.5,3.44,5740.6,0.0,4.0,2.0,3.0,2.0
1002,KS,Thomas,11.0,11.0,"53,816",18.1,80.5,7.359999999999999,44909.0,1.0,0.0,1.0,5.0,0.0
1004,KS,Wabaunsee,8.0,11.0,"61,502",5.6,76.19999999999999,3.9799999999999995,6917.6,1.0,0.0,1.0,1.0,0.0
1005,KS,Wallace,12.0,12.0,"47,844",10.2,75.19999999999999,2.8,1519.4,1.0,0.0,2.0,1.0,0.0
1006,KS,Washington,11.0,14.0,"45,077",20.3,90.39999999999999,8.98,16745.6,2.0,12.0,17.0,17.0,1.0
